ID1,ID2,RecSes 1,RecSes 2,Matches,UM Probabilities,TotalScore,amp_score,spatial_decay_score,centroid_overlord_score,centroid_dist,waveform_score,trajectory_score,UID1,UID2,UID Liberal 1,UID Liberal 2,UID int 1,UM UID int 2,UID Conservative 1,UID Conservative 2
0,0,1,1,1,0.9999999938538453,1.0,0.9574502850905586,0.9459376598655191,0.9814180807483439,0.9992880706550078,0.9486887065786602,0.8852661277080099,0,0,0,0,0,0,0,0
1,0,1,1,0,1.1121916935531862e-05,0.22019215082996854,0.002371489500138845,0.16458150805973668,0.5607882643313128,0.39486404093170013,0.44858697009657045,0.6045251517193102,1,0,1,0,1,0,1,0
2,0,1,1,0,3.7491506568313075e-06,0.0,0.06753658780639056,0.013681204696952004,0.4217283757762423,0.14939263196132402,0.20800617285523781,0.31513425941531564,2,0,2,0,2,0,2,0
3,0,1,1,0,6.743888792614071e-05,0.31972584890130357,0.14749707212676139,0.6488696494414913,0.23815981593106295,0.7099673038768439,0.47866813911847955,0.40469420494625874,3,0,3,0,3,0,3,0
4,0,1,1,0,0.00031730673771956914,0.4359670030614578,0.23524113433165353,0.2749462646087988,0.7136398695585671,0.7916314241316305,0.520063750318361,0.6203672870560007,4,0,4,0,4,0,4,0
5,0,1,1,0,7.913133455479757e-05,0.18213009994863358,0.09732854785959098,0.16714553144706643,0.3286657378522559,0.41100221149480975,0.7466810346506899,0.25199484235194525,5,0,5,0,5,0,5,0
6,0,1,1,0,0.0017459856502357119,0.3566645300251118,0.38918715633201656,0.8791630165904408,0.10895967613276214,0.7088434965868322,0.2582974135449973,0.45120195981591843,6,0,6,0,6,0,6,0
7,0,1,1,0,0.0028383107279283974,0.5513505840219127,0.40765843180089106,0.7419723405629096,0.6907826821864976,0.8033476691833308,0.5655108132343911,0.4707557515702184,7,0,6,0,7,0,7,0
8,0,1,1,0,0.00018356852487772185,0.12788377402115464,0.1558571828389939,0.4670240882894289,0.21621380893544212,0.28784583136793895,0.171368899483891,0.45809037834736177,8,0,8,0,8,0,8,0
0,0,2,1,1,0.9999988834601402,0.8508878961134649,0.8216709116789671,0.8094525397058077,0.8955922992075853,0.9647748651916529,0.8534565859608628,0.6957496041611467,9,0,0,0,0,0,0,0
1,0,2,1,0,1.6699695938803538e-06,0.022669121550181144,0.07868696926107271,0.008244945413089058,0.42181238208931826,0.14933740211237445,0.30523933885747595,0.31513425941531564,10,0,2,0,2,0,2,0
2,0,2,1,0,1.6357672424104883e-06,0.24689516110081414,0.08494849109362138,0.56840183676356,0.2918917223164639,0.7151308358275453,0.31387805129061985,0.3227667726522798,11,0,3,0,3,0,3,0
3,0,2,1,0,0.00026065369282978276,0.3959065614849669,0.1593740659472319,0.23885367490508216,0.6618569937078568,0.778933173236415,0.5710205190256458,0.5638739551835195,12,0,4,0,4,0,4,0
4,0,2,1,0,2.099668011071185e-05,0.21956734786514676,0.1402297951385955,0.22318676691842507,0.4060045685529527,0.4214507899632255,0.5630531994404688,0.41895409360979763,13,0,13,0,13,0,13,0
5,0,2,1,0,0.0023028491802737465,0.3920095967945627,0.43904386596735656,0.7903311643301356,0.04343549911331479,0.7099979875548933,0.4918694990445185,0.48153213227820146,14,0,6,0,7,0,7,0
6,0,2,1,0,0.00014690587381573441,0.49575545414392086,0.30072568964450436,0.8264430617565729,0.5338465474768869,0.8549512536957178,0.535451132078713,0.37606525153821874,15,0,6,0,15,0,15,0
7,0,2,1,0,0.00021885105066883604,0.10598936910530164,0.10792016987630769,0.42356646937281023,0.23432872379508474,0.28846308775484786,0.13845229593599812,0.4642125821985643,16,0,8,0,8,0,8,0
0,0,3,1,1,0.9999908334193874,0.8314534823782248,0.8275454497612167,0.8007940477449388,0.89625073748388,0.9647214178030847,0.7796535162538069,0.6834494579243826,17,0,0,0,0,0,0,0
1,0,3,1,0,2.6891257919060397e-06,0.002764116564077038,0.09105621756863708,0.014742062123175722,0.42190531286286254,0.15025248082716458,0.1949450918603951,0.31513425941531564,18,0,2,0,2,0,2,0
2,0,3,1,0,1.0261761488872747e-05,0.2889892147741309,0.18363409932668576,0.6772752665625065,0.3115192637715375,0.7351073388887512,0.2790852608605294,0.30161165322214134,19,0,3,0,3,0,3,0
3,0,3,1,0,0.0006299072713495168,0.4241497494904694,0.15293060337992975,0.28962033831476947,0.6940904466837179,0.7842810782541073,0.5748872875465458,0.6063992778391969,20,0,4,0,4,0,4,0
4,0,3,1,0,0.0001230533729613866,0.16270718061297157,0.07725065573846282,0.138589461785162,0.3121666693552859,0.4048635724657015,0.7615193212118341,0.22019826027642034,21,0,21,0,21,0,21,0
5,0,3,1,0,0.0014939420260156448,0.36112179784488124,0.53055959326861,0.6868773462681372,0.03140018203967363,0.7084138814322947,0.3853283343362706,0.4733208313925358,22,0,6,0,7,0,7,0
6,0,3,1,0,0.011805285306400156,0.5662654979829388,0.4019579480919864,0.7575749040625727,0.7066320876349457,0.8038395648018274,0.5825861978449552,0.4951890223115941,23,0,6,0,7,0,7,0
7,0,3,1,0,8.835938998025567e-06,0.10943581745491483,0.17796379845171856,0.42794518401047316,0.2956029229364634,0.24372252466116917,0.16078124037481134,0.36658339033811643,24,0,8,0,8,0,8,0
0,1,1,1,0,9.812923734700515e-06,0.16581758729455265,0.031634426003711254,0.15739376901976931,0.4610277233439237,0.35449379558698335,0.42664181605399054,0.49752564996511417,0,1,0,1,0,1,0,1
1,1,1,1,1,0.999674040415596,0.798221359834521,0.7450481461263554,0.8652207966319145,0.8460628616601602,0.947477720047767,0.8831068451690649,0.5145390244643211,1,1,1,1,1,1,1,1
2,1,1,1,0,0.7481035020764759,0.5770725586032076,0.7145362123382631,0.31211444422926454,1.0,0.717157287525381,0.05306361558672352,0.9999999911677864,2,1,2,1,2,1,2,1
3,1,1,1,0,5.7414700792159015e-06,0.3109934586559905,0.5037325178622255,0.2129488268277281,0.7370295098224618,0.6425307408459661,0.1880093569315183,0.303937741830352,3,1,3,1,3,1,3,1
4,1,1,1,0,0.00010139236774745642,0.466238894283003,0.36774078001898336,0.5109926818312372,0.7455514832924057,0.5618299952555172,0.48081384692902823,0.6264731184460592,4,1,4,1,4,1,4,1
5,1,1,1,0,0.08499237508005011,0.5420239337329535,0.6182193705976459,0.8454685553038378,0.7966955596467633,0.8527047833930732,0.34435713258641704,0.18021532802277715,5,1,5,1,5,1,5,1
6,1,1,1,0,1.0413591264026863e-05,0.2121452228311512,0.21883772965660003,0.14769868589701535,0.5304052964700978,0.6390335642218279,0.10073023453030659,0.5024581825724224,6,1,6,1,6,1,6,1
7,1,1,1,0,9.220455019247277e-06,0.23751452307248738,0.20557024029612428,0.12732818485183398,0.5621136530042949,0.5466269729127557,0.27777590467596175,0.5349905521464731,7,1,6,1,7,1,7,1
8,1,1,1,0,0.0003182826905048235,0.4201378631801952,0.4880465425730931,0.30256158503113967,0.7319216961950508,0.8584005588266651,0.07637476985019692,0.6266796063567083,8,1,8,1,8,1,8,1
0,1,2,1,0,2.319780594650851e-05,0.18103459105539213,0.015827344199825216,0.1726836574801908,0.5775599321183967,0.32216693998574475,0.37784599204556374,0.5317576143241616,9,1,0,1,0,1,0,1
1,1,2,1,0,0.44616619525449375,0.5838888868506207,0.6745384010175531,0.29402524960627197,0.9999999999999998,0.7168704741676212,0.14240108103742366,0.9999999911677864,10,1,2,1,2,1,2,1
2,1,2,1,0,0.00045531251350320223,0.3236388959784983,0.6543834009427529,0.24520038564973584,0.7610893149626464,0.6381294453260435,0.06962643705245627,0.27720249058750157,11,1,3,1,3,1,3,1
3,1,2,1,0,0.011278654517236959,0.5291837727007881,0.4816649657964378,0.5824316717921656,0.7971693984939126,0.574967990398928,0.5366441488855219,0.6064552277596644,12,1,4,1,4,1,4,1
4,1,2,1,0,0.0001377258753769669,0.4810058421986561,0.5180044848891915,0.6205904826592922,0.7587737079094168,0.8605112786217547,0.3022772848516797,0.3003245569774743,13,1,13,1,13,1,13,1
